ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
"ANKARAN, OLTRA",Prodaja,Stanovanje,dvoinpolsobno,2009,,64.9,225000.0,
"ANKARAN, OLTRA - ZNIŽANO",Prodaja,Stanovanje,dvosobno,2009,,64.9,225000.0,
"ANKARAN, POČITNIŠKO NASELJE",Prodaja,Počitniški objekt,Hiša,1964,,1366.0,1880000.0,
"ANKARAN, POGLED NA MORJE",Prodaja,Stanovanje,trisobno,2000,,112.2,320000.0,
"ANKARAN, PRI ŠOLI IN VRTCU",Prodaja,Stanovanje,trisobno,1985,,79.2,176000.0,
"ANKARAN, SONČNI PARK",Prodaja,Stanovanje,garsonjera,1994,,42.3,99000.0,
"ANKARAN, TIK OB MORJU",Prodaja,Stanovanje,dvoinpolsobno,2009,,70.0,225000.0,
"ANKARAN, VILA OBDANA Z ZELENJEM",Prodaja,Hiša,Samostojna,1913,,250.0,590000.0,
"ANKARAN, Z BAZENOM",Prodaja,Hiša,Samostojna,1990,,207.6,630000.0,
"ANOVEC, KREMEN",Prodaja,Hiša,Samostojna,1982,,150.0,75900.0,
APAČE,Prodaja,Stanovanje,enosobno,1970,,38.0,27000.0,
APAČE,Prodaja,Poslovni prostor,Gostinski lokal,1924,,132.12,369900.0,
APAČE,Prodaja,Hiša,Samostojna,1850,,141.0,30000.0,
APAČE,Prodaja,Poslovni prostor,Gostinski lokal,1920,,310.0,119900.0,
APAČE,Prodaja,Stanovanje,triinpolsobno,1920,,310.0,119900.0,
"APAČE, OB GLAVNI CESTI",Prodaja,Poslovni prostor,Prostor za storitve,1908,,406.1,100000.0,
"APAČE, ŽEPOVCI OB LOKALNI CESTI",Prodaja,Hiša,Samostojna,1980,,300.0,110000.0,
APNENIK PRI BOŠTANJU,Prodaja,Hiša,Samostojna,1890,,30.0,15000.0,
"APNENIK PRI BOŠTANJU, 46",Prodaja,Vikend,Bivalen,1980,,113.0,80000.0,
"APNENIK PRI BOŠTANJU, BOŠTANJ",Prodaja,Hiša,Samostojna,1920,,66.5,25000.0,
"APNO, NA OBROBJU VASI",Prodaja,Hiša,Samostojna,1982,,70.0,150000.0,
"ARMEŠKO, LOKACIJA OB LOKALNI CESTI",Prodaja,Poslovni prostor,Gostinski lokal,1973,,518.2,160000.0,
ARTIČE,Prodaja,Stanovanje,dvosobno,1966,,57.07,53000.0,
"ARTIČE, CENTER, PRI OŠ",Prodaja,Hiša,Samostojna,1900,,300.0,120000.0,
"ARTVIŽE, NA SLEMENU",Prodaja,Hiša,Samostojna,1990,,150.0,89000.0,
"AVBER, ŠTORJE OKOLICA",Prodaja,Hiša,Vrstna,1895,,105.0,49000.0,
AVČE,Prodaja,Hiša,Samostojna,2000,,116.6,60000.0,
AVČE,Prodaja,Hiša,Samostojna,2000,,222.0,85000.0,
BABIČI,Prodaja,Hiša,Samostojna,1900,,82.0,59000.0,
BABIČI,Prodaja,Hiša,Samostojna,1989,,173.0,260000.0,
BABIČI,Prodaja,Hiša,Samostojna,1989,,173.7,260000.0,
"BABNA BRDA, SVETI ŠTEFAN",Prodaja,Hiša,Samostojna,1975,,173.0,67000.0,
BABNA GORA,Prodaja,Hiša,Samostojna,1998,,54.3,49000.0,
BABNA GORA,Prodaja,Vikend,Zidan,1998,,54.3,49000.0,
BABNA GORA,Prodaja,Vikend,Bivalen,1994,,126.0,69900.0,
BABNA GORA,Prodaja,Hiša,Samostojna,1975,,268.0,94000.0,
BABNA REKA,Prodaja,Vikend,Zidan,1870,,82.0,49000.0,
BABNO POLJE,Prodaja,Hiša,Samostojna,1997,,220.0,49000.0,
BAČ PRI MATERIJI,Prodaja,Stanovanje,štirisobno,1952,,93.0,100000.0,
BAČ PRI MATERIJI,Prodaja,Hiša,Dvojček,2001,,341.05,362000.0,
"BAČ PRI MATERIJI, MATERIJA",Prodaja,Hiša,Samostojna,1950,,400.0,149000.0,
BAČA PRI MODREJU,Prodaja,Hiša,Samostojna,2014,,149.9,110000.0,
BAKOVCI,Prodaja,Hiša,Samostojna,1957,,92.2,107000.0,
BAKOVCI,Prodaja,Hiša,Samostojna,1964,,263.3,240000.0,
BAKOVCI,Prodaja,Poslovni prostor,Delavnica,1964,,263.3,240000.0,
BANJA LOKA,Prodaja,Stanovanje,trisobno,1967,,105.2,62000.0,
BAŠELJ,Prodaja,Stanovanje,trisobno,2014,,118.0,169400.0,
BAŠELJ,Prodaja,Stanovanje,štirisobno,2014,,140.0,189540.0,
"BATE, PRI ČEPOVANU",Prodaja,Hiša,Samostojna,2012,,271.8,89000.0,
BEČ,Prodaja,Posest,Kmetija,1914,,214.0,490000.0,
BEDENJ,Prodaja,Vikend,Zidan,1969,,24.0,28500.0,
BEDENJ,Prodaja,Posest,Kmetija,1966,,100.0,90000.0,
BEGUNJE NA GORENJSKEM,Prodaja,Hiša,Dvojček,1967,,135.0,115000.0,
BEGUNJE NA GORENJSKEM,Prodaja,Hiša,Samostojna,1800,,206.0,69000.0,
BEGUNJE NA GORENJSKEM,Prodaja,Hiša,Samostojna,1700,,480.0,285000.0,
"BEGUNJE NA GORENJSKEM, RADOVLJICA",Prodaja,Stanovanje,dvosobno,1987,,51.8,98000.0,
BEGUNJE PRI CERKNICI,Prodaja,Stanovanje,trisobno,2009,,72.0,140000.0,
BEGUNJE PRI CERKNICI,Prodaja,Hiša,Samostojna,1850,,264.3,150000.0,
"BEGUNJE PRI CERKNICI, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,,150.0,169000.0,
BELAVŠEK,Prodaja,Hiša,Drugo,1887,,50.0,25000.0,
"BELAVŠEK, ZG. LESKOVCU V HALOZAH",Prodaja,Vikend,Bivalen,1806,,48.4,27900.0,
BELCA,Prodaja,Hiša,Samostojna,1940,,100.0,149000.0,
BELE VODE,Prodaja,Hiša,Samostojna,1920,,76.8,137000.0,
BELE VODE,Prodaja,Poslovni prostor,Gostinski lokal,1920,,95.0,137000.0,
BELE VODE,Prodaja,Hiša,Samostojna,1970,,118.0,95000.0,
BELE VODE,Prodaja,Hiša,Samostojna,1982,,595.0,225000.0,
"BELI GRIČ, MOKRONOG",Prodaja,Hiša,Samostojna,1941,,60.0,11500.0,
"BELO, MEDVODE",Prodaja,Počitniški objekt,Vikend,1985,,58.7,98000.0,
BELSKI VRH,Prodaja,Vikend,Lesen,1987,,24.0,27000.0,
BELSKI VRH,Prodaja,Vikend,Bivalen,1980,,49.9,23000.0,
BELSKI VRH,Prodaja,Hiša,Samostojna,1960,,139.9,68900.0,
BELTINCI,Prodaja,Poslovni prostor,Gostinski lokal,2005,,119.9,255000.0,
BELTINCI,Prodaja,Hiša,Samostojna,2000,,481.6,200000.0,
"BELTINCI, 1KM OD AVTOCESTE MS - LENDAVA",Prodaja,Hiša,Samostojna,2017,,111.5,250000.0,
"BELTINCI, CENTER",Prodaja,Poslovni prostor,Gostinski lokal,1991,,236.0,69500.0,
BENEDIKT,Prodaja,Stanovanje,dvosobno,2010,,52.7,62900.0,
BENEDIKT,Prodaja,Stanovanje,trisobno,2008,,63.1,66000.0,
BENEDIKT,Prodaja,Stanovanje,dvosobno,2009,,71.8,72000.0,
BENEDIKT,Prodaja,Stanovanje,trisobno,2002,,77.0,68400.0,
BENEDIKT,Prodaja,Stanovanje,trisobno,2008,,89.7,85000.0,
BENEDIKT,Prodaja,Hiša,Dvojček,2019,,94.49,101990.0,
BENEDIKT,Prodaja,Hiša,Atrijska,2017,,107.05,149000.0,
BENEDIKT,Prodaja,Hiša,Atrijska,2017,,115.38,151900.0,
BENEDIKT,Prodaja,Hiša,Atrijska,2017,,117.64,153900.0,
BENEDIKT,Prodaja,Hiša,Samostojna,2017,,138.81,153900.0,
BENEDIKT,Prodaja,Hiša,Samostojna,1990,,266.4,125000.0,
BENEDIKT,Prodaja,Hiša,Samostojna,2005,,291.08,230000.0,
BENEDIKT,Prodaja,Hiša,Samostojna,2007,,336.45,239900.0,
"BENEDIKT, NASIPN ULICA 2A",Prodaja,Stanovanje,petsobno,2008,,150.1,147000.0,
"BENEDIKT, OPREMLJENO S KLIMO IN BALKONOM",Prodaja,Stanovanje,dvosobno,2009,,71.0,73000.0,
BENICA,Prodaja,Hiša,Samostojna,1950,,56.5,35000.0,
"BEREČA VAS, SUHOR",Prodaja,Hiša,Samostojna,1975,,76.4,70000.0,
BERIČEVO,Prodaja,Stanovanje,trisobno,1931,,85.8,107000.0,
BERIČEVO,Prodaja,Hiša,Samostojna,1950,,182.0,199000.0,
BERIČEVO,Prodaja,Hiša,Dvojček,1987,,192.0,219000.0,
BERIČEVO,Prodaja,Hiša,Samostojna,1950,,350.0,199000.0,
BERKOVCI,Prodaja,Hiša,Samostojna,1905,,159.9,85000.0,
"BERKOVCI, 20, 9207 PROSENJAKOVCI",Prodaja,Hiša,Samostojna,2004,,80.0,70000.0,
BERTOKI,Prodaja,Hiša,Vrstna,2009,,126.3,599000.0,
BERTOKI,Prodaja,Hiša,Samostojna,2006,,304.0,450000.0,
"BERTOKI, BLIZU VRTCA, TRGOVINE",Prodaja,Stanovanje,štirisobno,1960,,117.0,129000.0,
BESNICA,Prodaja,Hiša,Samostojna,1996,,196.0,210000.0,
BESNICA,Prodaja,Hiša,Samostojna,1990,,224.0,225000.0,
"BESNICA, PRI LJUBLJANI",Prodaja,Hiša,Samostojna,1996,,196.0,210000.0,
"BETNAVA, GORIŠKA ULICA",Prodaja,Stanovanje,trisobno,1972,,67.34,79000.0,
"BETNAVA, SPODNJE RADVANJE",Prodaja,Poslovni prostor,Prostor za storitve,1981,,260.0,210000.0,
"BETNAVA, ULICA EVE LOVŠE",Prodaja,Stanovanje,štirisobno,2014,,163.2,245247.0,
"BETNAVA, ULICA EVE LOVŠE 8, MARIBOR",Prodaja,Stanovanje,štirisobno,2014,,163.0,245247.0,
BEVKE,Prodaja,Hiša,Samostojna,2012,,144.0,420000.0,
BEVKE,Prodaja,Hiša,Samostojna,2013,,151.8,298000.0,
BEVKE,Prodaja,Hiša,Samostojna,2002,,157.0,260000.0,
BEVKE,Prodaja,Hiša,Samostojna,1990,,210.0,369000.0,
BEVKE,Prodaja,Posest,Zazidljiva,2011,,663.0,86000.0,
BEZENA,Prodaja,Stanovanje,Drugo,2019,,1026.0,700000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1996,,16.0,36000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Drugo,1996,,23.0,37000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Gostinski lokal,1996,,38.66,79000.0,
BEŽIGRAJSKI DVOR,Prodaja,Stanovanje,enoinpolsobno,1934,,45.8,136000.0,
BEŽIGRAJSKI DVOR,Prodaja,Stanovanje,dvosobno,1967,,56.3,149000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Drugo,1996,,90.5,109000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1982,,494.0,617500.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1982,,522.0,535000.0,
BEŽIGRAJSKI DVOR,Prodaja,Poslovni prostor,Pisarna,1982,,1016.0,1152500.0,
"BEŽIGRAJSKI DVOR, DUNAJSKA CESTA",Prodaja,Poslovni prostor,Kombiniran prostor,1996,,37.4,60000.0,
"BEŽIGRAJSKI DVOR, LINHARTOVA ULICA",Prodaja,Stanovanje,petsobno,1974,,160.3,345000.0,
"BEŽIGRAJSKI DVOR, PERIČEVA",Prodaja,Stanovanje,trisobno,1996,,118.9,385000.0,
"BEŽIGRAJSKI DVOR, PERIČEVA ULICA",Prodaja,Stanovanje,štirisobno,2018,,193.0,650000.0,
BILJANA,Prodaja,Hiša,Drugo,1920,,89.2,40000.0,
BILJE,Prodaja,Hiša,Drugo,1967,,123.0,75000.0,
BILJE,Prodaja,Hiša,Vrstna,1992,,147.0,90000.0,
BILJE,Prodaja,Hiša,Vrstna,1968,,190.0,128000.0,
BILJE,Prodaja,Stanovanje,petsobno,2008,,201.0,175000.0,
BILJE,Prodaja,Stanovanje,petsobno,2008,,201.0,149000.0,
BILJE,Prodaja,Hiša,Dvostanovanjska,1990,,229.6,212000.0,
BILJE,Prodaja,Hiša,Vrstna,2005,,279.3,155000.0,
BILJE,Prodaja,Hiša,Drugo,2005,,279.3,155000.0,
BILJE,Prodaja,Hiša,Drugo,1995,,316.0,240000.0,
BILJE,Prodaja,Poslovni prostor,Drugo,2013,,648.5,720000.0,
"BIRČNA VAS, PRI NOVEM MESTU",Prodaja,Vikend,Bivalen,2006,,65.0,37000.0,
BISTRICA OB DRAVI,Prodaja,Stanovanje,garsonjera,1985,,27.0,39000.0,
BISTRICA OB DRAVI,Prodaja,Stanovanje,enoinpolsobno,1985,,54.2,58000.0,
BISTRICA OB DRAVI,Prodaja,Hiša,Samostojna,1900,,64.5,25000.0,
BISTRICA OB DRAVI,Prodaja,Poslovni prostor,Večji poslovni kompleks,1995,,257.0,490000.0,
BISTRICA OB DRAVI,Prodaja,Hiša,Samostojna,2001,,331.0,485000.0,
BISTRICA OB DRAVI,Prodaja,Poslovni prostor,Večji poslovni kompleks,1950,,424.0,180000.0,
"BISTRICA OB DRAVI, CESTA V LOG",Prodaja,Hiša,Samostojna,1990,,417.0,400.0,
"BISTRICA OB DRAVI, CESTI MED MARIBOROM IN RUŠAMI",Prodaja,Poslovni prostor,Gostinski lokal,2003,,218.87,260000.0,
BISTRICA OB SOTLI,Prodaja,Stanovanje,trisobno,1988,,66.3,40000.0,
BISTRICA OB SOTLI,Prodaja,Hiša,Samostojna,1920,,70.0,47500.0,
BISTRICA OB SOTLI,Prodaja,Hiša,Samostojna,1990,,326.0,125000.0,
"BISTRICA OB SOTLI, KRIŽAN VRH",Prodaja,Hiša,Samostojna,1878,,74.4,46500.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Pisarna,1989,,53.0,16400.0,
BISTRICA PRI TRŽIČU,Prodaja,Stanovanje,dvoinpolsobno,1969,,64.5,112500.0,
BISTRICA PRI TRŽIČU,Prodaja,Stanovanje,dvoinpolsobno,1969,,64.5,112500.0,
BISTRICA PRI TRŽIČU,Prodaja,Stanovanje,trisobno,2017,,76.1,170000.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Prostor za storitve,1969,,77.1,59000.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Gostinski lokal,1978,,122.6,220000.0,
BISTRICA PRI TRŽIČU,Prodaja,Hiša,Samostojna,2014,,126.0,239000.0,
BISTRICA PRI TRŽIČU,Prodaja,Hiša,Samostojna,2013,,126.8,239000.0,
BISTRICA PRI TRŽIČU,Prodaja,Hiša,Samostojna,2013,,126.8,239000.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Gostinski lokal,1990,,165.0,190000.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Gostinski lokal,1978,,170.2,250000.0,
BISTRICA PRI TRŽIČU,Prodaja,Poslovni prostor,Pisarna,1967,,230.0,105000.0,
BISTRICA PRI TRŽIČU,Prodaja,Hiša,Samostojna,2009,,260.8,190000.0,
"BISTRICA PRI TRŽIČU, CESTA NA LOKO",Prodaja,Stanovanje,trisobno,1998,,65.0,113000.0,
"BISTRICA PRI TRŽIČU, DETELJICA",Prodaja,Stanovanje,dvosobno,1981,,67.4,120000.0,
"BISTRICA PRI TRŽIČU, DETELJICA 10, TRŽIČ",Prodaja,Poslovni prostor,Gostinski lokal,1970,,179.0,250000.0,
"BISTRICA PRI TRŽIČU, KOVORSKA CESTA",Prodaja,Stanovanje,enoinpolsobno,1978,,47.2,91500.0,
"BISTRICA PRI TRŽIČU, OKOLICA",Prodaja,Poslovni prostor,Skladišče,1980,,6500.0,135.0,
"BISTRICA PRI TRŽIČU, POT NA BISTRIŠKO PLANINO",Prodaja,Stanovanje,trisobno,1935,,94.9,99000.0,
"BISTRIČICA, OBDANA Z NARAVO, LE 25KM OD LJ.",Prodaja,Hiša,Samostojna,2006,,145.6,299000.0,
BIŠ,Prodaja,Hiša,Samostojna,1980,,184.0,159000.0,
BITNJE,Prodaja,Hiša,Samostojna,1958,,160.0,125000.0,
BIZELJSKO,Prodaja,Vikend,Lesen,1992,,20.0,12000.0,
BIZELJSKO,Prodaja,Hiša,Samostojna,1980,,79.0,18000.0,
BIZELJSKO,Prodaja,Hiša,Samostojna,1932,,96.0,48000.0,
BIZELJSKO,Prodaja,Hiša,Samostojna,2011,,106.0,87000.0,
BIZELJSKO,Prodaja,Hiša,Samostojna,1963,,116.0,53000.0,
BIZELJSKO,Prodaja,Hiša,Samostojna,2006,,400.0,419000.0,
"BIZELJSKO, 300 M OD ŠOLE",Prodaja,Hiša,Samostojna,2002,,187.0,1150.0,
"BIZELJSKO, BOŠT",Prodaja,Vikend,Zidan,2010,,183.5,100000.0,
"BIZELJSKO, BREZOVICA NA BIZELJSKEM",Prodaja,Posest,Kmetija,1700,,90000.0,2.2,
"BIZELJSKO, OREŠJE",Prodaja,Vikend,Bivalen,1990,,76.8,35000.0,
"BIZELJSKO, VITNA VAS",Prodaja,Vikend,Bivalen,1980,,56.0,34000.0,
"BIZELJSKO, VITNA VAS",Prodaja,Vikend,Zidan,1970,,60.0,25200.0,
"BIZELJSKO, VITNA VAS",Prodaja,Hiša,Samostojna,1994,,150.0,66500.0,
BIZOVIK,Prodaja,Stanovanje,dvoinpolsobno,1850,,50.0,104000.0,
BIZOVIK,Prodaja,Stanovanje,dvoinpolsobno,1850,,50.0,104000.0,
BIZOVIK,Prodaja,Hiša,Vrstna,2007,,190.0,310000.0,
BIZOVIK,Prodaja,Hiša,Dvojček,2003,,246.0,460000.0,
BIZOVIK,Prodaja,Hiša,Samostojna,1995,,270.0,589000.0,
BIZOVIK,Prodaja,Hiša,Samostojna,1995,,338.0,589000.0,
BIZOVIK,Prodaja,Hiša,Dvostanovanjska,2010,,390.0,650000.0,
"BIZOVIK, POT NA VISOKO",Prodaja,Hiša,Samostojna,2013,,200.0,420000.0,
BLAGOVICA,Prodaja,Hiša,Samostojna,1980,,213.6,1250000.0,
"BLAGOVICA, 15 MINUT IZ LJ.",Prodaja,Hiša,Samostojna,1980,,220.0,1250000.0,
"BLAGOVICA, BORJE PRI MLINŠAH",Prodaja,Vikend,Lesen,1982,,25.0,20000.0,
"BLAGOVICA, KORPE",Prodaja,Hiša,Samostojna,1980,,546.5,980000.0,
BLANCA,Prodaja,Hiša,Samostojna,1976,,180.0,185000.0,
"BLANCA, POKLEK NAD BLANCO 4",Prodaja,Hiša,Samostojna,1990,,300.0,63000.0,
BLATNA BREZOVICA,Prodaja,Stanovanje,trisobno,1900,,77.1,95000.0,
BLATNA BREZOVICA,Prodaja,Stanovanje,trisobno,2008,,103.06,159000.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,173.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,173.0,299000.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Samostojna,2019,,220.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
BLATNA BREZOVICA,Prodaja,Hiša,Samostojna,2019,,240.0,199000.0,
BLATNA BREZOVICA,Prodaja,Hiša,Samostojna,2000,,276.62,330000.0,
BLATNA BREZOVICA,Prodaja,Poslovni prostor,Delavnica,1992,,321.0,160000.0,
"BLATNA BREZOVICA, MIRNA LOKACIJA OB TRAVNIKIH",Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
"BLATNA BREZOVICA, MIRNA LOKACIJA Z RAZGLEDOM",Prodaja,Hiša,Dvojček,2019,,220.0,217905.0,
"BLATNA BREZOVICA, VRHNIKA OKOLICA",Prodaja,Hiša,Samostojna,2019,,240.0,217905.0,
BLATNO,Prodaja,Hiša,Samostojna,1890,,41.0,27000.0,
"BLATNO, BLIŽINA ČATEŠKIH TOPLIC IN AC",Prodaja,Počitniški objekt,Hiša,1980,,100.0,40000.0,
"BLATNO, BLIŽINA ČATEŠKIH TOPLIC IN AC",Prodaja,Vikend,Bivalen,1980,,100.0,40000.0,
"BLATNO, MALI VRH",Prodaja,Vikend,Zidan,1960,,24.0,10000.0,
"BLATNO, VINORODNI OKOLIŠ",Prodaja,Počitniški objekt,Vikend,2003,,97.0,45000.0,
BLED,Prodaja,Poslovni prostor,Drugo,1989,,15.5,49500.0,
BLED,Prodaja,Poslovni prostor,Neživilska trgovina,1989,,16.0,49800.0,
BLED,Prodaja,Poslovni prostor,Neživilska trgovina,1990,,17.0,4000.0,
BLED,Prodaja,Stanovanje,enosobno,1955,,25.5,86000.0,
BLED,Prodaja,Poslovni prostor,Pisarna,1990,,34.5,70000.0,
BLED,Prodaja,Poslovni prostor,Drugo,1990,,34.52,70000.0,
BLED,Prodaja,Stanovanje,garsonjera,1975,,37.4,92000.0,
BLED,Prodaja,Stanovanje,dvosobno,1980,,47.0,105000.0,
BLED,Prodaja,Stanovanje,dvoinpolsobno,1974,,53.0,135000.0,
BLED,Prodaja,Stanovanje,dvosobno,1975,,53.7,117500.0,
BLED,Prodaja,Stanovanje,dvoinpolsobno,1987,,68.9,145000.0,
BLED,Prodaja,Stanovanje,trisobno,2006,,70.0,260000.0,
BLED,Prodaja,Stanovanje,trisobno,2011,,70.0,230000.0,
BLED,Prodaja,Stanovanje,trisobno,2019,,82.9,238000.0,
BLED,Prodaja,Stanovanje,trisobno,1975,,86.6,155000.0,
BLED,Prodaja,Stanovanje,trisobno,1975,,86.6,155000.0,
BLED,Prodaja,Stanovanje,trisobno,1985,,87.0,215000.0,
BLED,Prodaja,Hiša,Samostojna,1965,,95.5,300000.0,
BLED,Prodaja,Stanovanje,štirisobno,1958,,99.0,172000.0,
BLED,Prodaja,Stanovanje,dvosobno,1963,,110.0,170000.0,
BLED,Prodaja,Poslovni prostor,Gostinski lokal,1989,,142.0,200000.0,
BLED,Prodaja,Stanovanje,štirisobno,1935,,155.5,425000.0,
BLED,Prodaja,Hiša,Samostojna,1889,,167.2,629000.0,
BLED,Prodaja,Hiša,Samostojna,2018,,167.2,629000.0,
BLED,Prodaja,Stanovanje,petsobno,2012,,184.0,446000.0,
BLED,Prodaja,Stanovanje,Drugo,2013,,184.0,406000.0,
BLED,Prodaja,Stanovanje,petsobno,2012,,185.0,499000.0,
BLED,Prodaja,Stanovanje,petsobno,2012,,185.0,484000.0,
BLED,Prodaja,Hiša,Samostojna,1980,,194.0,315000.0,
BLED,Prodaja,Stanovanje,petsobno,2012,,217.0,533900.0,
BLED,Prodaja,Poslovni prostor,Gostinski lokal,1889,,220.0,550000.0,
BLED,Prodaja,Hiša,Dvojček,1965,,224.0,265000.0,
BLED,Prodaja,Hiša,Dvojček,1965,,260.0,238000.0,
BLED,Prodaja,Hiša,Dvojček,1900,,290.0,395000.0,
BLED,Prodaja,Hiša,Dvojček,1970,,305.0,350000.0,
BLED,Prodaja,Počitniški objekt,Drugo,1800,,306.0,650000.0,
BLED,Prodaja,Hiša,Samostojna,1850,,428.0,490000.0,
BLED,Prodaja,Hiša,Samostojna,2009,,514.0,3800000.0,
BLED,Prodaja,Hiša,Samostojna,2009,,514.0,3800000.0,
BLED,Prodaja,Hiša,Samostojna,1800,,548.8,1100000.0,
BLED,Prodaja,Hiša,Drugo,2019,,626.2,2750000.0,
BLED,Prodaja,Počitniški objekt,Hiša,2019,,626.2,2750000.0,
BLED,Prodaja,Hiša,Samostojna,2007,,824.0,1950000.0,
BLED,Prodaja,Poslovni prostor,Večji poslovni kompleks,1960,,846.83,950000.0,
"BLED, 400 M OD JEZERA",Prodaja,Hiša,Samostojna,1904,,310.4,900000.0,
"BLED, ALPSKA CESTA",Prodaja,Stanovanje,enosobno,1981,,33.1,88000.0,
"BLED, ALPSKI BLOKI",Prodaja,Stanovanje,garsonjera,1981,,19.3,64500.0,
"BLED, ALPSKI BLOKI",Prodaja,Stanovanje,enoinpolsobno,1975,,51.9,89500.0,
"BLED, BLIZU SPARA, ZADNJE 4 ENOTE",Prodaja,Stanovanje,dvosobno,2019,,60.14,170000.0,
"BLED, BLIŽINA CENTRA",Prodaja,Hiša,Vrstna,1980,,245.0,269000.0,
"BLED, BLIŽINA JEZERA Z ATRIJEM",Prodaja,Stanovanje,garsonjera,2006,,33.2,149100.0,
"BLED, BLIŽNJA OKOLICA",Prodaja,Hiša,Samostojna,1357,,250.0,269000.0,
"BLED, CENTER",Prodaja,Stanovanje,štirisobno,1984,,121.0,183000.0,
"BLED, CENTER",Prodaja,Stanovanje,petsobno,1889,,225.0,280000.0,
"BLED, CENTER - BLIŽINA JEZERA",Prodaja,Hiša,Samostojna,1934,,533.2,620000.0,
"BLED, CENTER STARO VAŠKO JEDRO",Prodaja,Hiša,Samostojna,1700,,680.0,2800000.0,
"BLED, DOBE",Prodaja,Hiša,Samostojna,1985,,323.0,850000.0,
"BLED, GREGORČIČEVA31 A",Prodaja,Hiša,Vrstna,1956,,153.0,230000.0,
"BLED, JERMANKA",Prodaja,Hiša,Samostojna,1962,,334.8,300000.0,
"BLED, MLINO",Prodaja,Hiša,Samostojna,1910,,157.4,360000.0,
"BLED, NA JASI",Prodaja,Hiša,Samostojna,1973,,118.3,295000.0,
"BLED, OB JEZERU",Prodaja,Hiša,Samostojna,1920,,444.0,1300000.0,
"BLED, OB RIBENSKI CESTI",Prodaja,Stanovanje,dvosobno,2010,,45.3,199000.0,
"BLED, ODLIČNA LOKACIJA - CENTER",Prodaja,Poslovni prostor,Neživilska trgovina,1989,,197.2,359000.0,
"BLED, OKOLICA",Prodaja,Hiša,Samostojna,1912,,258.0,350000.0,
"BLED, OKOLICA",Prodaja,Hiša,Samostojna,2003,,440.0,390000.0,
"BLED, PRELEPA LOKACIJA V BLIŽINI BLEJSKEGA JEZERA",Prodaja,Stanovanje,triinpolsobno,2012,,184.76,396900.0,
"BLED, PREŠERNOVA CESTA",Prodaja,Stanovanje,štirisobno,2001,,75.0,185000.0,
"BLED, PREŠERNOVA CESTA",Prodaja,Hiša,Samostojna,1904,,133.2,900000.0,
"BLED, REČICA PRI BLEDU",Prodaja,Hiša,Samostojna,1955,,107.0,230000.0,
"BLED, RIBENSKA CESTA",Prodaja,Stanovanje,dvosobno,2010,,50.1,199000.0,
"BLED, SEBENJE, ZASIP",Prodaja,Počitniški objekt,Apartma,2017,,483.6,1800000.0,
"BLED, TALEŽ",Prodaja,Hiša,Samostojna,1974,,60.0,94000.0,
"BLED, TRIGLAVSKA CESTA",Prodaja,Hiša,Samostojna,1700,,131.0,195000.0,
"BLED, V BLIŽINI BLEJSKEGA JEZERA",Prodaja,Stanovanje,triinpolsobno,2012,,184.18,430799.0,
"BLED, ZASIP",Prodaja,Stanovanje,štirisobno,1936,,140.0,130000.0,
"BLED, ZASIP",Prodaja,Hiša,Samostojna,2000,,182.0,360000.0,
"BLED, ZGORNJE GORJE - KRNICA",Prodaja,Hiša,Dvostanovanjska,1957,,250.0,280000.0,
BLEJSKA DOBRAVA,Prodaja,Stanovanje,štirisobno,1966,,96.2,51000.0,
BLEJSKA DOBRAVA,Prodaja,Hiša,Samostojna,2014,,200.0,350000.0,
BLOČICE,Prodaja,Hiša,Samostojna,1910,,106.0,79900.0,
BLOČICE,Prodaja,Hiša,Samostojna,1910,,151.9,78000.0,
BOČNA,Prodaja,Hiša,Samostojna,1964,,180.0,158000.0,
BODEŠČE,Prodaja,Hiša,Samostojna,1874,,280.0,145000.0,
