ime,posred,vrsta,tip,leto,zemljisce,velikost,cena,agencija
LJ. MOSTE,Prodaja,Hiša,Vrstna,2005,,140.0,320000.0,
"LJ. MOSTE, BLIŽINA CENTRA IN UKC",Prodaja,Stanovanje,dvosobno,1870,,44.6,120000.0,
"LJ. MOSTE, DVOJČEK, ODLIČNA LOKACIJA",Prodaja,Hiša,Dvojček,2019,,166.0,1790.0,
"LJ. MOSTE, VEVČE",Prodaja,Hiša,Dvojček,2019,,150.0,249000.0,
"LJ. MOSTE, ZADOBROVA",Prodaja,Hiša,Dvojček,2019,,158.0,310000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,dvosobno,1935,,45.0,115900.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,trisobno,1939,,81.0,267000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,štirisobno,2009,,131.39,270000.0,
LJ. ŠIŠKA,Prodaja,Stanovanje,petsobno,2018,,406.42,990000.0,
"LJ. ŠIŠKA, 1A BIVANJE V BLIŽINI TIVOLIJA",Prodaja,Stanovanje,dvoinpolsobno,2002,,51.9,156000.0,
"LJ. ŠIŠKA, BLIZU CENTRA, ODLIČNA LOKACIJA",Prodaja,Stanovanje,dvosobno,1965,,58.3,147000.0,
LJ. VIČ,Prodaja,Stanovanje,enosobno,1968,,34.0,89000.0,
LJ. VIČ,Prodaja,Stanovanje,dvoinpolsobno,2009,,75.0,208000.0,
"LJ. VIČ, DOLGI MOST",Prodaja,Stanovanje,dvosobno,2004,,49.0,155000.0,
"LJ. VIČ, JZ OBROBJE",Prodaja,Hiša,Dvojček,2004,,200.0,380000.0,
"LJ. VIČ, KOLEZIJA",Prodaja,Stanovanje,dvosobno,1931,,48.0,150000.0,
"LJ. VIČ, PRI DOLGEM MOSTU",Prodaja,Stanovanje,enosobno,2004,,43.9,119000.0,
"LJ. VIČ, VELIKA PARCELA, MODERNO",Prodaja,Hiša,Samostojna,2005,,243.8,820000.0,
LOKEV,Prodaja,Hiša,Dvojček,2019,,173.0,165000.0,
LUCIJA,Prodaja,Hiša,Vrstna,1974,,305.0,398000.0,
"LUCIJA, BLIŽINA MERCATOR DISKONTA",Prodaja,Stanovanje,dvosobno,1987,,69.2,187000.0,
"LUCIJA, CENTER - NASPROTI TPC",Prodaja,Stanovanje,enosobno,1998,,51.0,168000.0,
"MALIJA, ČUDOVIT RAZGLED",Prodaja,Hiša,Samostojna,1985,,229.5,640000.0,
MB - CENTER,Prodaja,Poslovni prostor,Pisarna,1970,,7193.0,6500000.0,
"MB - CENTER, PARTIZANSKA ULICA",Prodaja,Poslovni prostor,Prostor za storitve,1963,,876.0,411000.0,
"MB - CENTER, VOŠNJAKOVA 22",Prodaja,Stanovanje,dvosobno,1908,,46.4,72000.0,
"MEDVODE, BALKON, SONČNO IN SVETLO",Prodaja,Stanovanje,dvosobno,1990,,62.45,155000.0,
MORAVSKE TOPLICE,Prodaja,Stanovanje,trisobno,2018,,73.7,169900.0,
"MORAVSKE TOPLICE, OD 128. 000 NAPREJ +DDV",Prodaja,Stanovanje,trisobno,2018,,123.0,128000.0,
MOSTEC,Prodaja,Stanovanje,trisobno,2002,,91.7,374999.0,
"MOŠE, PRI SMLEDNIKU MEDVODE",Prodaja,Hiša,Dvojček,2019,,120.0,140000.0,
MURGLE,Prodaja,Stanovanje,trisobno,2020,,99.96,450675.0,
MURGLE,Prodaja,Stanovanje,petsobno,2020,,153.6,661893.0,
MURGLE,Prodaja,Stanovanje,štirisobno,2020,,176.69,775700.0,
MURGLE,Prodaja,Stanovanje,štirisobno,2020,,288.83,588314.0,
"MURGLE, LJ.",Prodaja,Stanovanje,trisobno,2020,,90.18,450467.0,
"MURGLE, LJ.",Prodaja,Stanovanje,štirisobno,2020,,97.98,504206.0,
"MURSKA SOBOTA, NA LENDAVSKI ULICI 19",Prodaja,Stanovanje,dvosobno,1983,,67.5,65900.0,
NOVA GORICA,Prodaja,Poslovni prostor,Pisarna,2011,,1083.24,750.0,
NOVA GORICA,Prodaja,Poslovni prostor,Pisarna,2011,,4033.5,2700000.0,
NOVO MESTO,Prodaja,Stanovanje,štirisobno,2019,,90.9,173700.0,
NOVO MESTO,Prodaja,Poslovni prostor,Drugo,2012,,835.0,1120000.0,
OREHOVSKI VRH,Prodaja,Hiša,Samostojna,1807,,205.0,145000.0,
PEKRE,Prodaja,Počitniški objekt,Apartma,2010,,3919.5,1490000.0,
"PIRAN, BLIŽINA MESTA IN PLAŽE",Prodaja,Hiša,Vrstna,1900,,160.0,299000.0,
"PIRAN, TRG 1. MAJA",Prodaja,Stanovanje,štirisobno,1800,,115.4,240000.0,
PIVOLA,Prodaja,Hiša,Dvojček,2019,,125.0,159618.1,
"PLANINA NA POHORJU, ROGLA",Prodaja,Hiša,Samostojna,2008,,81.8,119000.0,
PODČETRTEK,Prodaja,Hiša,Samostojna,1973,,402.0,170000.0,
POLJČANE,Prodaja,Stanovanje,dvoinpolsobno,1910,,97.3,22900.0,
"POLJE PRI VODICAH, MODERNO ZASNOVANA",Prodaja,Hiša,Samostojna,2013,,173.2,480000.0,
"PORTOROŽ, PENTHOUSE Z BAZENOM V PORTOROŽU",Prodaja,Stanovanje,trisobno,2008,,184.7,539000.0,
"PORTOROŽ, VILA - NOVOGRADNJA",Prodaja,Hiša,Samostojna,2017,,399.0,1290000.0,
"PREVOJE PRI ŠENTVIDU, LUKOVICA - DOMŽALE",Prodaja,Stanovanje,enoinpolsobno,2001,,41.0,93000.0,
"PUŠČE, VELIKE LAŠČE",Prodaja,Hiša,Dvojček,2010,,155.0,155000.0,
"RADIZEL, KOLMANOVA ULICA",Prodaja,Hiša,Samostojna,1969,,245.0,189900.0,
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,,172.3,312613.74,
"RAKOVNIK, NOVO NASELJE",Prodaja,Hiša,Samostojna,2019,,172.3,321271.04,
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,dvoinpolsobno,2019,,69.0,229910.58,
"RAKOVNIK, OB DOLENJSKI CESTI",Prodaja,Stanovanje,dvoinpolsobno,2019,,69.0,217819.59,
RATEČE,Prodaja,Hiša,Samostojna,2006,,214.0,440000.0,
"RAVNIK, MIRNA, ŠENTRUPERT",Prodaja,Vikend,Bivalen,1974,,64.0,56000.0,
"RETEČE, DRUŽINSKO NASELJE",Prodaja,Hiša,Samostojna,2017,,210.0,350000.0,
"RIBNO, 2, 5 KM OD BLEJSKEGA JEZERA",Prodaja,Stanovanje,štirisobno,1971,,157.0,198500.0,
"RUDNIK, TRNOVSKO PREDMESTJE",Prodaja,Hiša,Dvostanovanjska,2018,,150.0,450000.0,
SAVSKO NASELJE,Prodaja,Stanovanje,dvoinpolsobno,1946,,59.6,157000.0,
"SAVSKO NASELJE, OBNOVLJENO, DVIGALO, GARAZA",Prodaja,Stanovanje,trisobno,1959,,84.0,247000.0,
"SEČOVLJE, BLIZU LETALIŠČA, MEJE",Prodaja,Hiša,Samostojna,1927,,72.3,198000.0,
SEŽANA,Prodaja,Hiša,Samostojna,1969,,137.3,188000.0,
SP. ŠIŠKA,Prodaja,Stanovanje,dvosobno,1962,,55.7,137000.0,
SP. ŠIŠKA,Prodaja,Stanovanje,trisobno,1943,,78.0,179000.0,
SPODNJE GAMELJNE,Prodaja,Stanovanje,štirisobno,2020,,307.0,395000.0,
"SPODNJE GAMELJNE, ČUDOVITA DVOSTANOVANJSKA HIŠA S POGLEDOM N...",Prodaja,Hiša,Samostojna,1972,,360.0,695000.0,
"SPODNJE RADVANJE, UL. EVE LOVŠE",Prodaja,Stanovanje,garsonjera,2010,,43.4,84000.0,
"SPODNJI HOTIČ, LITIJA",Prodaja,Hiša,Samostojna,2017,,183.0,216810.0,
SREDNJE GAMELJNE,Prodaja,Hiša,Samostojna,1968,,143.5,280000.0,
STARI GRAD V PODBOČJU,Prodaja,Hiša,Samostojna,1980,,120.0,65000.0,
"ŠENTVID, PREGRAJENO V 4 - SOBNO",Prodaja,Stanovanje,trisobno,1990,,79.7,173000.0,
ŠKOFLJICA,Prodaja,Hiša,Samostojna,1987,,192.0,369000.0,
"ŠKOFLJICA, 1/A",Prodaja,Hiša,Dvojček,2019,,164.38,229500.0,
"ŠKOFLJICA, 3/B",Prodaja,Hiša,Dvojček,2019,,158.74,238900.0,
"ŠKOFLJICA, LAVRICA, NA KLJUČ",Prodaja,Hiša,Dvojček,2019,,116.0,275000.0,
