ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija 
DOBRUNJE,Prodaja,Posest,,,,"15.000,00","29,00",Zasebna ponudba
"DOBRUNJE, CCA 4. 5 KM DO OBVOZNICE",Prodaja,Posest,,,,"678,00","100,00",Kupola nepremičnina d.o.o.
"DOBRUNJE, CCA 4. 5 KM DO OBVOZNICE",Prodaja,Posest,,,,"712,00","100,00",Kupola nepremičnina d.o.o.
"DOBRUNJE, OKOLICA",Prodaja,Poslovni prostor,,,,"236,00","399.000,00",KU-MI nepremičnine d.o.o.
"DOBRUNJE, OKOLICA",Prodaja,Hiša,,,,"236,00","399.000,00",KU-MI nepremičnine d.o.o.
DOBRUŠA,Prodaja,Posest,,,,"3.500,00","185.000,00",Rojal invest d.o.o.
DOBRUŠKA VAS,Prodaja,Posest,,,,"1.758,00","39.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOBRUŠKA VAS,Prodaja,Posest,,,,"8.446,00","59,00","Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
"DOBRUŠKA VAS, IZVOZ NA AC LJ. ZAGREB",Prodaja,Posest,,,,"8.446,00","59,00",Zasebna ponudba
DOGOŠE,Prodaja,Hiša,,,,"118,00","110.000,00","RE/MAX Avenija, Nepremičnine Maribor d.o.o."
DOGOŠE,Prodaja,Posest,,,,"445,00","45.000,00",Mezanin nepremičnine d.o.o.
DOKLEŽOVJE,Prodaja,Hiša,,,,"156,70","65.000,00",FISA nepremičnine d.o.o.
DOL POD GOJKO,Prodaja,Hiša,,,,"90,00","61.000,00",Heres d.o.o.
"DOL POD GOJKO, FRANKOLOVO",Prodaja,Posest,,,,"2.682,00","22,40",Zasebna ponudba
DOL PRI BOROVNICI,Prodaja,Stanovanje,,,,"58,00","60.000,00",Akva d.o.o. PE nepremičnine
DOL PRI BOROVNICI,Prodaja,Hiša,,,,"154,90","88.000,00",Hiša nepremičnine 1 d.o.o.
DOL PRI BOROVNICI,Prodaja,Posest,,,,"1.038,00","50.000,00","Dom domis, Živa Logar, s.p."
DOL PRI BOROVNICI,Prodaja,Posest,,,,"8.223,00","43,00",ABC nepremičnine d.o.o.
DOL PRI BOROVNICI,Prodaja,Posest,,,,"8.223,00","43,00",ABC nepremičnine d.o.o.
"DOL PRI BOROVNICI, RAZGLEDNA LOKACIJA",Prodaja,Posest,,,,"3.068,00","45,00",Akva d.o.o. PE nepremičnine
DOL PRI HRASTNIKU,Prodaja,Stanovanje,,,,"45,60","34.000,00",Zasebna ponudba
DOL PRI HRASTNIKU,Prodaja,Hiša,,,,"60,00","15.000,00","KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
DOL PRI HRASTNIKU,Prodaja,Hiša,,,,"70,00","39.000,00","ELO d.o.o., PE Ljubljana"
DOL PRI HRASTNIKU,Prodaja,Hiša,,,,"113,00","65.000,00","KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
DOL PRI HRASTNIKU,Prodaja,Hiša,,,,"200,00","105.000,00",Zasebna ponudba
DOL PRI HRASTNIKU,Prodaja,Hiša,,,,"490,00","220.000,00","Boštjan Hudomalj s.p., PE Agenti nepremičnine Zasavje"
"DOL PRI HRASTNIKU, CENTER",Prodaja,Stanovanje,,,,"67,20","52.000,00","ELO d.o.o., PE Ljubljana"
"DOL PRI HRASTNIKU, CENTER",Prodaja,Poslovni prostor,,,,"380,00","120.000,00",Vivo nepremičnine s.p.
"DOL PRI HRASTNIKU, CESTA VDV BRIGADE 1",Prodaja,Hiša,,,,"300,00","59.000,00",Zasebna ponudba
"DOL PRI HRASTNIKU, IC",Prodaja,Poslovni prostor,,,,"930,00","360.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"DOL PRI HRASTNIKU, PARTIZANSKA 35, HRASTNIK",Prodaja,Poslovni prostor,,,,"900,00","295.000,00","ELO d.o.o., PE Ljubljana"
"DOL PRI HRASTNIKU, PLANINSKA CESTA 16",Prodaja,Poslovni prostor,,,,"400,00","115.000,00",Zasebna ponudba
"DOL PRI HRASTNIKU, SLATNO",Prodaja,Hiša,,,,"133,60","85.000,00","KP, Posredovanje nepremičnin, Karmen Podmenik s.p."
DOL PRI HRASTOVLJAH,Prodaja,Posest,,,,"737,00","48,00",ABC nepremičnine d.o.o.
"DOL PRI HRASTOVLJAH, VAŠKO JEDRO",Prodaja,Hiša,,,,"200,00","69.000,00",Zasebna ponudba
DOL PRI LJUBLJANI,Prodaja,Stanovanje,,,,"29,80","92.000,00","Sans nepremičnine, d.o.o."
DOL PRI LJUBLJANI,Prodaja,Hiša,,,,"169,00","160.000,00",DVOREC POSREDNIŠKA HIŠA d.o.o.
DOL PRI LJUBLJANI,Prodaja,Hiša,,,,"280,00","335.000,00",Mezanin nepremičnine d.o.o.
"DRAVLJE, GOTSKA ULICA",Prodaja,Stanovanje,,,,"60,80","109.500,00",Akcent d.o.o. Ljubljana
DOL PRI LJUBLJANI,Prodaja,Posest,,,,"1.508,00","99.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
DOL PRI LJUBLJANI,Prodaja,Posest,,,,"3.600,00","799.000,00","Stoja trade, d.o.o., Ljubljana"
DOL PRI LJUBLJANI,Prodaja,Posest,,,,"4.292,00","315.000,00",Inalbea d.o.o.
"DOL PRI LJUBLJANI, BERIČEVO",Prodaja,Posest,,,,"7.768,00","520.000,00",K 3 Kern d.o.o.
"DOL PRI LJUBLJANI, DOLSKO",Prodaja,Hiša,,,,"305,00","415.000,00",FIN nepremičninsko posredovanje Robert Fekonja s.p.
"DOL PRI LJUBLJANI, DOLSKO, PROJEKT Z PRIDOBLJENIM GD",Prodaja,Posest,,,,"23.764,00","2.550.000,00",iProjekt d.o.o.
"DOL PRI LJUBLJANI, PODGORA",Prodaja,Posest,,,,"600,00","120,00","Domek nepremičnine, Nataša Batinič s.p."
"DOL PRI LJUBLJANI, PODGORA",Prodaja,Posest,,,,"900,00","120,00","Domek nepremičnine, Nataša Batinič s.p."
"DOL PRI LJUBLJANI, PODGORA",Prodaja,Posest,,,,"6.000,00","93,00",Gradina d.o.o.
"DOL PRI LJUBLJANI, SENOŽETI",Prodaja,Hiša,,,,"169,00","175.000,00",ZI Investicije d.o.o.
"DOL PRI LJUBLJANI, SENOŽETI",Prodaja,Hiša,,,,"337,00","365.000,00",FIN nepremičninsko posredovanje Robert Fekonja s.p.
"DOL PRI LJUBLJANI, SENOŽETI",Prodaja,Hiša,,,,"340,00","365.000,00",HIP KA d.o.o.
"DOL PRI LJUBLJANI, SENOŽETI",Prodaja,Posest,,,,"1.024,00","110.000,00",FIN nepremičninsko posredovanje Robert Fekonja s.p.
"DOL PRI LJUBLJANI, VIDEM",Prodaja,Stanovanje,,,,"83,80","165.000,00",Zasebna ponudba
"DOL PRI LJUBLJANI, VIDEM",Prodaja,Stanovanje,,,,"84,30","187.500,00",Zasebna ponudba
DOL PRI ŠMARJU,Prodaja,Hiša,,,,"152,00","44.500,00","Agenti Celje, AŽ&MB Nerad d.o.o."
"DOL PRI ŠMARJU, 28",Prodaja,Hiša,,,,"70,00","42.900,00",GSH REAL d.o.o.
"DOL PRI ŠMARJU, ŠMARJE",Prodaja,Posest,,,,"7.200,00","13.900,00",Teps PNM d.o.o.
DOL PRI VOGLJAH,Prodaja,Posest,,,,"1.248,00","89.856,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"DOL, PRI ŠUTNI",Prodaja,Vikend,,,,"60,00","50.000,00",Zasebna ponudba
DOLANE,Prodaja,Posest,,,,"2.195,00","20,00",Zasebna ponudba
DOLANE,Prodaja,Posest,,,,"5.660,00","8.500,00","SM nepremičnine, Aleksandra Bezjak s.p."
"DOLANE, 4 PARCELE",Prodaja,Posest,,,,"3.322,00","23,50",Zasebna ponudba
"DOLANE, VRH GRIČA",Prodaja,Hiša,,,,"244,40","89.000,00","M nepremičnine, Milena Jančič s.p."
DOLE,Prodaja,Hiša,,,,"81,00","170.000,00",Renes d.o.o.
DOLE,Prodaja,Hiša,,,,"192,00","190.000,00",Bidom d.o.o.
DOLE,Prodaja,Hiša,,,,"288,00","189.000,00",Zasebna ponudba
DOLE PRI LITIJI,Prodaja,Posest,,,,"24.756,00","0,40",NeSta d.o.o.
"DOLE PRI LITIJI, JELENSKA REBER",Prodaja,Hiša,,,,"170,00","69.000,00",NeSta d.o.o.
DOLE PRI POLICI,Prodaja,Posest,,,,"1.700,00","90.000,00",Zasebna ponudba
"DOLE PRI POLICI, 76",Prodaja,Hiša,,,,"313,00","445.000,00","ELO d.o.o., PE Ljubljana"
DOLE PRI ŠKOFLJICI,Prodaja,Hiša,,,,"140,00","345.000,00",Zasebna ponudba
DOLENA,Prodaja,Hiša,,,,"127,90","82.000,00 &euro;<span class=""cena-old"">88.000,00","Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
DOLENA,Prodaja,Hiša,,,,"300,00","125.000,00","SM nepremičnine, Aleksandra Bezjak s.p."
"TRNOVO, ZIHERLOVA ULICA",Oddaja,Stanovanje,,,,"72,70","650,00","Agencija Tomc, d.o.o."
DOLENCI,Prodaja,Hiša,,,,"55,00","10.000,00","Ažur Trading, d.o.o."
DOLENCI,Prodaja,Posest,,,,"1.853,00","10.999,00","Nepremičnine SV, Tomaž Poredoš s.p."
DOLENCI,Prodaja,Posest,,,,"2.000,00","19.990,00",Zasebna ponudba
DOLENCI,Prodaja,Posest,,,,"2.188,00","16.500,00","Nepremičnine Pomurje, IMERS Igor Meolic s.p."
DOLENCI,Prodaja,Posest,,,,"2.660,00","3.600,00",Zasebna ponudba
"DOLENCI, LEPA MIRNA LOKACIJA",Prodaja,Hiša,,,,"49,10","54.900,00",Dom M5 d.o.o.
"DOLENJA PIROŠICA, CERKLJE OB KRKI",Prodaja,Hiša,,,,"240,00","290.000,00",Zasebna ponudba
"DOLENJA PIROŠICA, CERKLJE OB KRKI",Prodaja,Posest,,,,"989,00","23,00","Geodet Kralj, geodetske storitve in nepremičnine, Janez Kralj s.p."
"DOLENJA PIROŠICA, CERKLJE OB KRKI - SONČNA LOKACIJA",Prodaja,Posest,,,,"885,00","23,00","Geodet Kralj, geodetske storitve in nepremičnine, Janez Kralj s.p."
DOLENJA TREBUŠA,Prodaja,Hiša,,,,"160,00","120.000,00",Renes d.o.o.
DOLENJA VAS,Prodaja,Stanovanje,,,,"70,51","112.000,00",Zasebna ponudba
DOLENJA VAS,Prodaja,Posest,,,,"745,00","35,00","Boštjan Hudomalj s.p., PE Agenti nepremičnine Zasavje"
DOLENJA VAS,Prodaja,Posest,,,,"1.694,00","36.000,00","PBO nepremičnine, Most inženiring d.o.o."
DOLENJA VAS,Prodaja,Posest,,,,"2.674,00","60.000,00","PBO nepremičnine, Most inženiring d.o.o."
DOLENJA VAS PRI ČATEŽU,Prodaja,Posest,,,,"1.971,00","18,00",Zasebna ponudba
DOLENJA VAS PRI MIRNI PEČI,Prodaja,Posest,,,,"691,00","43.000,00",Fesst nepremičnine d.o.o.
DOLENJA VAS PRI MIRNI PEČI,Prodaja,Posest,,,,"765,00","28.000,00",Fesst nepremičnine d.o.o.
DOLENJA VAS PRI POLICI,Prodaja,Posest,,,,"978,00","58,00",Zasebna ponudba
"DOLENJA VAS, BLIZU PREBOLD",Prodaja,Hiša,,,,"320,00","210.000,00","Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o."
"DOLENJA VAS, CERKNIŠKO JEZERO",Prodaja,Hiša,,,,"198,00","150.000,00",Akva d.o.o. PE nepremičnine
"DOLENJA VAS, DIVAČA OKOLICA",Prodaja,Hiša,,,,"200,00","295.000,00","Ruj Nepremičnine, Jernej Suša, s.p."
"DOLENJA VAS, LONČARSKA ULICA",Prodaja,Hiša,,,,"101,00","60.000,00","Bamba nepremičnine, Tanko Franc s.p."
"DOLENJA VAS, NASELJE HUMEC",Prodaja,Posest,,,,"1.800,00","18,00",Zasebna ponudba
"DOLENJA VAS, OB VSTOPU V PREBOLD",Prodaja,Posest,,,,"3.112,00","45,00","Center nepremičnin, Geoprojekt, Geodetske storitve, projektiranje, inženiring, nepremičnine d.o.o."
"DOLENJA VAS, PREBOLD",Prodaja,Stanovanje,,,,"97,70","93.700,00","Nepremičninska družba, d.o.o., PE RE/MAX Premium"
"DOLENJA VAS, SENOŽEČE OKOLICA",Prodaja,Hiša,,,,"120,00","109.000,00","Ruj nepremičnine, Jernej Suša, s.p."
"DOLENJA VAS, SEŽANA OKOLICA, GRIŽE",Prodaja,Posest,,,,"10.096,00","0,50","Ruj nepremičnine, Jernej Suša, s.p."
"DOLENJE KALIŠČE, MIRNA LOKACIJA V NARAVI",Prodaja,Hiša,,,,"194,00","125.000,00","Salomon nepremičnine, Anže Nahtigal, s.p."
"DOLENJE KALIŠČE, MIRNA LOKACIJA V NARAVI",Prodaja,Hiša,,,,"194,00","99.000,00","Salomon nepremičnine, Anže Nahtigal, s.p."
DOLENJE KAMENJE,Prodaja,Posest,,,,"1.221,00","37,00",Kapitelj nepremičnine d.o.o.
DOLENJE LAKNICE,Prodaja,Vikend,,,,"65,00","45.000,00",NNRN nepremičnine d.o.o. Novo mesto
"DOLENJE LAKNICE, MOKRONOG",Prodaja,Posest,,,,"87.293,00","240.000,00",APN d.o.o.
DOLENJE OTAVE,Prodaja,Posest,,,,"880,00","24.000,00","NIONA, Nina Rangus s.p."
"DOLENJE OTAVE, BLIZU RAKITNE",Prodaja,Hiša,,,,"200,00","75.000,00","NIONA, Nina Rangus s.p."
"DOLENJE PODPOLJANE, RIBNICA, NA ROBU VASI",Prodaja,Hiša,,,,"170,00","120.000,00",Zasebna ponudba
"LJ. BEŽIGRAD, TOPNIŠKA",Oddaja,Stanovanje,,,,"31,00","350,00",Zasebna ponudba
DOLENJE POLJE,Prodaja,Posest,,,,"2.263,00","7.000,00",Zasebna ponudba
"DOLENJE POLJE, STRAŠKI HRIB",Prodaja,Vikend,,,,"35,00","15.000,00",Zasebna ponudba
"DOLENJE POLJE, STRAŠKI HRIB",Prodaja,Vikend,,,,"45,00","15.000,00","Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
DOLENJE PONIKVE,Prodaja,Hiša,,,,"163,00","36.500,00",Zasebna ponudba
DOLENJE RADULJE,Prodaja,Vikend,,,,"68,90","33.500,00","NOVDOM Nepremičnine, Aleš Novak s.p."
DOLENJE SELCE,Prodaja,Posest,,,,"25.041,00","18.000,00",Zasebna ponudba
"DOLENJE SUŠICE, DOLENJSKE TOPLICE",Prodaja,Hiša,,,,"151,00","128.000,00",Zasebna ponudba
DOLENJE VRHPOLJE,Prodaja,Vikend,,,,"36,50","63.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJE VRHPOLJE,Prodaja,Vikend,,,,"117,00","53.500,00",Kapitelj nepremičnine d.o.o.
DOLENJE VRHPOLJE,Prodaja,Posest,,,,"1.729,00","25,00",Kapitelj nepremičnine d.o.o.
DOLENJI BOŠTANJ,Prodaja,Hiša,,,,"262,60","250.000,00",Mezanin nepremičnine d.o.o.
DOLENJI BOŠTANJ,Prodaja,Posest,,,,"1.977,00","55,00",AXA 1995 d.o.o. PE nepremičnine Krško
"PIRAN, 30 METROV OD TARTINIJEVEGA TRGA",Oddaja,Stanovanje,,,,"50,00","300,00",Zasebna ponudba
DOLENJI GLOBODOL,Prodaja,Posest,,,,"4.549,00","69.500,00","RENEX, Ksenija Mihajlović s.p."
DOLENJI MAHAROVEC,Prodaja,Hiša,,,,"80,00","65.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJI MAHAROVEC,Prodaja,Posest,,,,"509,00","27.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJI MAHAROVEC,Prodaja,Posest,,,,"509,00","27.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJI MAHAROVEC,Prodaja,Posest,,,,"1.700,00","29.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJI MAHAROVEC,Prodaja,Posest,,,,"7.244,00","79.000,00","RENEX, Ksenija Mihajlović s.p."
DOLENJI NOVAKI,Prodaja,Hiša,,,,"58,00","25.000,00",Renes d.o.o.
DOLENJSKE TOPLICE,Prodaja,Poslovni prostor,,,,"288,20","315.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
DOLENJSKE TOPLICE,Prodaja,Posest,,,,"461,00","20.500,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
DOLENJSKE TOPLICE,Prodaja,Počitniški objekt,,,,"602,00","1.100.000,00",RCN d.o.o.
DOLENJSKE TOPLICE,Prodaja,Posest,,,,"739,00","20.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLENJSKE TOPLICE,Prodaja,Posest,,,,"750,00","25.500,00",Kapitelj nepremičnine d.o.o.
DOLENJSKE TOPLICE,Prodaja,Posest,,,,"1.500,00","50,00",Prenova Marko Bele s.p. Novo mesto
DOLENJSKE TOPLICE,Prodaja,Posest,,,,"2.387,00","100.000,00","Nepremičninska družba d.o.o., PE RE/MAX Vogal"
"DOLENJSKE TOPLICE, 2 KM OD CENTRA KRAJA",Prodaja,Posest,,,,"650,00","25.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, 2 KM OD CENTRA KRAJA",Prodaja,Posest,,,,"3.500,00","30.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, 2 KM OD CENTRA KRAJA",Prodaja,Posest,,,,"4.474,00","50.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, 300M OD ZDRAVILIŠČA",Prodaja,Vikend,,,,"102,60","88.000,00",Zasebna ponudba
"DOLENJSKE TOPLICE, BLIŽINA CENTRA KRAJA",Prodaja,Vikend,,,,"25,00","18.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, BLIŽINA CENTRA KRAJA",Prodaja,Hiša,,,,"63,10","45.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"666,00","39.960,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"670,00","40.200,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"672,00","40.320,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"700,00","42.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"874,00","52.440,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CENTER",Prodaja,Posest,,,,"917,00","55.020,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, CVIBLJE",Prodaja,Posest,,,,"1.428,00","38,00",Zasebna ponudba
"DOLENJSKE TOPLICE, CVIBLJE",Prodaja,Posest,,,,"1.718,00","40,00","ETAŽA nepremičnine, Tomaž Lenart s.p."
"DOLENJSKE TOPLICE, CVIBLJE",Prodaja,Posest,,,,"5.095,00","229.000,00","STAN nepremičnine d.o.o., Ljubljana"
"DOLENJSKE TOPLICE, GORENJE SUŠICE",Prodaja,Posest,,,,"1.021,00","22,00",Nepis d.o.o.
"DOLENJSKE TOPLICE, GORENJE SUŠICE",Prodaja,Posest,,,,"1.200,00","17,00",Leran d.o.o.
"DOLENJSKE TOPLICE, LUBANC",Prodaja,Vikend,,,,"25,00","20.000,00","Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
"DOLENJSKE TOPLICE, OKOLICA",Prodaja,Vikend,,,,"27,00","30.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, OKOLICA",Prodaja,Posest,,,,"590,00","22.500,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, OKOLICA - GABRJE PRI SOTESKI",Prodaja,Vikend,,,,"90,00","105.000,00",Kvadrat nepremičnine d.o.o.
"DOLENJSKE TOPLICE, SELA",Prodaja,Posest,,,,"2.145,00","30.000,00","Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
"DOLENJSKE TOPLICE, SELA PRI DOLENJSKIH TOPLICAH",Prodaja,Hiša,,,,"379,00","255.000,00",Inteleks d.o.o.
"DOLENJSKE TOPLICE, VELIKI RIGELJ",Prodaja,Vikend,,,,"38,00","50.000,00",Nepis d.o.o.
"DOLENJSKE TOPLICE, VELIKI RIGELJ",Prodaja,Posest,,,,"1.241,00","4.800,00","Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
DOLGA BRDA,Prodaja,Posest,,,,"2.631,00","32.000,00",SIMOBILIA nepremičnine d.o.o.
DOLGA BRDA,Prodaja,Posest,,,,"2.631,00","19,00",Zasebna ponudba
DOLGA GORA,Prodaja,Vikend,,,,"56,00","39.000,00",Zasebna ponudba
DOLGA GORA,Prodaja,Hiša,,,,"210,00","175.000,00",Mezanin nepremičnine d.o.o.
DOLGA GORA,Prodaja,Posest,,,,"2.400,00","30,00",Teps PNM d.o.o.
DOLGA NJIVA PRI ŠENTLOVRENCU,Prodaja,Hiša,,,,"96,00","63.000,00",NNRN nepremičnine d.o.o. Novo mesto
DOLGA POLJANA,Prodaja,Hiša,,,,"130,00","54.000,00",Zasebna ponudba
DOLGA POLJANA,Prodaja,Hiša,,,,"262,00","36.000,00",Renes d.o.o.
DOLGA POLJANA,Prodaja,Posest,,,,"1.386,00","50,00",Renes d.o.o.
MAREZIGE,Oddaja,Stanovanje,,,,"80,00","320,00",Zasebna ponudba
"DOLGA POLJANA, ROB VASI",Prodaja,Posest,,,,"1.709,00","60.000,00",Gaberit nepremičnine Matija Ceket s.p.
DOLGA VAS,Prodaja,Hiša,,,,"74,40","10.000,00",Prima vista d.o.o.
DOLGA VAS,Prodaja,Poslovni prostor,,,,"173,20","170.000,00",Akustika group d.o.o.
DOLGA VAS,Prodaja,Posest,,,,"1.512,00","17.000,00",Zasebna ponudba
DOLGA VAS,Prodaja,Posest,,,,"70.000,00","10,00",Zasebna ponudba
"DOLGA VAS, OB GLAVNI CESTI",Prodaja,Hiša,,,,"55,00","72.000,00",Zasebna ponudba
DOLGE NJIVE,Prodaja,Vikend,,,,"63,50","49.500,00","INSA d.o.o., Europark Maribor"
DOLGE NJIVE,Prodaja,Hiša,,,,"117,40","79.000,00 &euro;<span class=""cena-old"">129.000,00",Atrium nepremičnine d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"28,90","105.000,00",Garant - Gabrijela Smuk s.p.
DOLGI MOST,Prodaja,Stanovanje,,,,"34,50","125.000,00",RCN d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"43,90","118.000,00",Svet Real d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"59,30","139.000,00",MESTO NEPREMIČNIN d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"92,60","279.000,00",SINEP družba za investiranje d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"108,50","259.000,00",Svet Real d.o.o.
DOLGI MOST,Prodaja,Stanovanje,,,,"130,20","260.000,00",ABC nepremičnine d.o.o.
DOLGI MOST,Prodaja,Hiša,,,,"171,00","470.000,00",LJUBLJANA NEPREMIČNINE d.o.o.
DOLGI MOST,Prodaja,Hiša,,,,"180,00","445.000,00",Hiša nepremičnine 1 d.o.o.
DOLGI MOST,Prodaja,Hiša,,,,"292,00","700.000,00","Rodman MGM d.o.o., PE nepremičnine"
POMURJE.,Najem,Poslovni prostor,,,,"292,00","700.000,00",Lares nepremičninska družba d.o.o.
DOLGI MOST,Prodaja,Hiša,,,,"315,60","575.000,00",Aladin inženiring d.o.o.
DOLGI MOST,Prodaja,Hiša,,,,"360,00","750.000,00","Nepremičnine KLEMENČIČ, Borut Klemenčič Hočevar s.p."
DOLGI MOST,Prodaja,Posest,,,,"720,00","300,00",MESTO NEPREMIČNIN d.o.o.
DOLGI MOST,Prodaja,Poslovni prostor,,,,"885,00","960.000,00",DVOREC POSREDNIŠKA HIŠA d.o.o.
DOLGI MOST,Prodaja,Poslovni prostor,,,,"885,00","960.000,00",DVOREC POSREDNIŠKA HIŠA d.o.o.
DOLGI MOST,Prodaja,Posest,,,,"2.748,00","960.000,00",DVOREC POSREDNIŠKA HIŠA d.o.o.
"DOLGI MOST, LJ. VIČ",Prodaja,Poslovni prostor,,,,"42,00","55.000,00",Zasebna ponudba
"DOLGI MOST, LJ. VIČ",Prodaja,Stanovanje,,,,"54,46","151.990,00",FIN nepremičninsko posredovanje Robert Fekonja s.p.
"DOLGI MOST, LJ. VIČ",Prodaja,Posest,,,,"501,00","318.000,00",Zasebna ponudba
DOLGO BRDO PRI MLINŠAH,Prodaja,Hiša,,,,"210,00","125.000,00",Mezanin nepremičnine d.o.o.
DOLGO BRDO PRI MLINŠAH,Prodaja,Posest,,,,"530,00","15.000,00",Zasebna ponudba
DOLGO BRDO PRI MLINŠAH,Prodaja,Posest,,,,"1.000,00","35,00",Zasebna ponudba
DOLGO BRDO PRI MLINŠAH,Prodaja,Posest,,,,"1.042,00","35,00",NeSta d.o.o.
"DOLGO BRDO, LITIJA",Prodaja,Hiša,,,,"200,00","115.000,00",Fortuna int. d.o.o.
DOLGOVAŠKE GORICE,Prodaja,Hiša,,,,"39,00","31.000,00","RE/MAX Pomurje, PRO-BEL, d.o.o."
DOLGOVAŠKE GORICE,Prodaja,Hiša,,,,"373,00","150.000,00",Zasebna ponudba
DOLIČ,Prodaja,Hiša,,,,"146,70","159.000,00 &euro;<span class=""cena-old"">195.000,00",Atrium nepremičnine d.o.o.
DOLIČ,Prodaja,Hiša,,,,"166,00","46.500,00",Tohom d.o.o.
DOLIČ,Prodaja,Hiša,,,,"198,50","140.000,00","Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
DOLIČ,Prodaja,Hiša,,,,"240,00","140.000,00",Mezanin nepremičnine d.o.o.
DOLIČ,Prodaja,Posest,,,,"10.000,00","50.000,00","Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
DOLIČ,Prodaja,Posest,,,,"17.929,00","40.000,00","Nepremičninska družba d.o.o., PE RE/MAX Poetovio"
DOLINA,Prodaja,Posest,,,,"400,00","265.000,00","Nepremičnine SV, Tomaž Poredoš s.p."
DOLINA PRI LENDAVI,Prodaja,Hiša,,,,"56,00","45.000,00",Zasebna ponudba
DOLINA PRI LENDAVI,Prodaja,Hiša,,,,"91,00","39.000,00","RE/MAX Pomurje, PRO-BEL, d.o.o."
DOLINA PRI LENDAVI,Prodaja,Hiša,,,,"251,70","160.000,00",Prima vista d.o.o.
DOLJE,Prodaja,Hiša,,,,"90,00","75.000,00",Zasebna ponudba
DOLNJA BISTRICA,Prodaja,Hiša,,,,"62,50","25.000,00","RE/MAX Pomurje, PRO-BEL, d.o.o."
DOLNJA BISTRICA,Prodaja,Hiša,,,,"80,00","30.000,00",FISA nepremičnine d.o.o.
DOLNJA BISTRICA,Prodaja,Hiša,,,,"91,00","19.000,00","RE/MAX Pomurje, PRO-BEL, d.o.o."
DOLNJA BISTRICA,Prodaja,Posest,,,,"3.580,00","35.000,00",Prima vista d.o.o.
DOLNJA BITNJA,Prodaja,Hiša,,,,"188,30","170.000,00",Nepremičnine Land d.o.o.
POMURJE.,Najem,Poslovni prostor,,,,"188,30","170.000,00",Zasebna ponudba
"DOLNJA BITNJA, PRSTAVCA",Prodaja,Posest,,,,"710,00","35.000,00",Zasebna ponudba
"DOLNJA BITNJA, SLIKE POŠLJEMO PO MAILU",Prodaja,Hiša,,,,"188,30","170.000,00","NIONA, Nina Rangus s.p."
DOLNJA KOŠANA,Prodaja,Hiša,,,,"396,42","87.000,00",Euro MB d.o.o.
