ime,posred,vrsta,koliko_sobno,leto_izgradnje,zemljisce,velikost,cena,agencija
LAHOMNO,Prodaja,Posest,,,,"915,00","18.000,00","Nepremičninska družba, d.o.o., PE RE/MAX Premium"
LAVRICA,Prodaja,Hiša,,,,"135,20","295.000,00",DARMAL d.o.o.
"LAZE V TUHINJU, APARTMA TERMAH SNOVIK",Prodaja,Počitniški objekt,,,,"46,20","2.460,00",ABC nepremičnine d.o.o.
"TABOR, PREDEL MAGDALENA, BLIZU BOLNICE",Prodaja,Stanovanje,,,,"80,00","82.750,00",Zasebna ponudba
"LITIJA, GRAŠKA CESTA",Prodaja,Posest,,,,"463,00","20.000,00","Portal nepremičnine, Dejan Grošelj s.p."
LJ. BEŽIGRAD,Prodaja,Stanovanje,,,,"75,80","215.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. BEŽIGRAD,Prodaja,Poslovni prostor,,,,"357,70","643.860,00",ABC nepremičnine d.o.o.
"LJ. BEŽIGRAD, BLIZU CENTRA",Prodaja,Stanovanje,,,,"150,00","490.000,00",Zasebna ponudba
"LJ. BEŽIGRAD, DVIGALO, BALKON",Prodaja,Stanovanje,,,,"49,20","158.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. BEŽIGRAD, DVIGALO, ODLIČNA LOKACIJA",Prodaja,Stanovanje,,,,"52,40","158.000,00","STAN nepremičnine d.o.o., Ljubljana"
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,,,,"71,70","185.000,00",MESTO NEPREMIČNIN d.o.o.
"LJ. BEŽIGRAD, SAVSKO NASELJE",Prodaja,Stanovanje,,,,"80,80","185.000,00",Mreža nepremičnin d.o.o.
"LJ. BEŽIGRAD, SMOLETOVA ULICA",Prodaja,Stanovanje,,,,"83,80","224.000,00",Nepremičnine Plus d.o.o.
LJ. CENTER,Prodaja,Stanovanje,,,,"41,18","148.000,00",MESTO NEPREMIČNIN d.o.o.
LJ. CENTER,Prodaja,Stanovanje,,,,"57,70","229.376,00","Stoja trade, d.o.o., Ljubljana"
LJ. CENTER,Prodaja,Stanovanje,,,,"59,05","259.915,00","Stoja trade, d.o.o., Ljubljana"
